SVM,No add,Add 10000,Add 20000,Add 30000,Add 40000,,,,,,,,
,30000,0.96,G+S3->G+S3,LR,,,,,,,,,
,30000,0.85,G+S3->G+T1,LR,,,,,,,,,
,30000,0.6,G+S3->G+F,LR,,,,,,,,,
,30000,0.81,G+S3->G+R,LR,,,,,,,,,
,30000,0.7,G+T1->G+S2,LR,,,,,,,,,
,30000,0.95,G+T1->G+S3,LR,,,,,,,,,
,30000,0.89,G+T1->G+T1,LR,,,,,,,,,
,30000,0.73,G+T1->G+F,LR,,,,,,,,,
,30000,0.8,G+T1->G+R,LR,,,,,,,,,
,30000,0.78,G+F->G+S2,LR,,,,,,,,,
,30000,0.95,G+F->G+S3,LR,,,,,,,,,
,30000,0.85,G+F->G+T1,LR,,,,,,,,,
,30000,0.76,G+F->G+F,LR,,,,,,,,,
,30000,0.78,G+F->G+R,LR,,,,,,,,,
,30000,0.67,G+R->G+S2,LR,,,,,,,,,
,30000,0.94,G+R->G+S3,LR,,,,,,,,,
,30000,0.82,G+R->G+T1,LR,,,,,,,,,
,30000,0.59,G+R->G+F,LR,,,,,,,,,
,30000,0.88,G+R->G+R,LR,,,,,,,,,
,40000,0.82,G+S2->G+S2,LR,,,,,,,,,
,40000,0.96,G+S2->G+S3,LR,,,,,,,,,
,40000,0.82,G+S2->G+T1,LR,,,,,,,,,
,40000,0.65,G+S2->G+F,LR,,,,,,,,,
,40000,0.81,G+S2->G+R,LR,,,,,,,,,
,40000,0.72,G+S3->G+S2,LR,,,,,,,,,
,40000,0.96,G+S3->G+S3,LR,,,,,,,,,
,40000,0.86,G+S3->G+T1,LR,,,,,,,,,
,40000,0.62,G+S3->G+F,LR,,,,,,,,,
,40000,0.83,G+S3->G+R,LR,,,,,,,,,
,40000,0.73,G+T1->G+S2,LR,,,,,,,,,
,40000,0.96,G+T1->G+S3,LR,,,,,,,,,
,40000,0.87,G+T1->G+T1,LR,,,,,,,,,
,40000,0.75,G+T1->G+F,LR,,,,,,,,,
,40000,0.82,G+T1->G+R,LR,,,,,,,,,
,40000,0.8,G+F->G+S2,LR,,,,,,,,,
,40000,0.96,G+F->G+S3,LR,,,,,,,,,
,40000,0.85,G+F->G+T1,LR,,,,,,,,,
,40000,0.76,G+F->G+F,LR,,,,,,,,,
,40000,0.8,G+F->G+R,LR,,,,,,,,,
,40000,0.71,G+R->G+S2,LR,,,,,,,,,
,40000,0.95,G+R->G+S3,LR,,,,,,,,,
,40000,0.83,G+R->G+T1,LR,,,,,,,,,
,40000,0.62,G+R->G+F,LR,,,,,,,,,
,40000,0.88,G+R->G+R,LR,,,,,,,,,
