,add,train,test,micro,macro
0,0,social2,social3,0.7878237164925033,0.4740756886636877
1,100,social2,social3,0.9728700618752975,0.9516433632931792
2,200,social2,social3,0.9735132433783108,0.9422751912267304
3,300,social2,social3,0.9773803261441346,0.9321689457363183
4,400,social2,social3,0.9739033870072182,0.8557237843467115
5,0,social3,social2,0.9561913276709879,0.935404124216809
6,100,social3,social2,0.9836218998596162,0.9737139443141183
7,200,social3,social2,0.9833087874324987,0.9679130560476787
8,300,social3,social2,0.9798657718120806,0.949502160812586
9,400,social3,social2,0.9814915623298857,0.9211508357319598
10,0,social2,traditional1,0.8211890925346446,0.6353351591027647
11,100,social2,traditional1,0.984089845577913,0.9734452663586924
12,200,social2,traditional1,0.9852724594992637,0.970842796343302
13,300,social2,traditional1,0.9865771812080537,0.9642317373196743
14,400,social2,traditional1,0.9885683179096353,0.9476704200935169
15,0,traditional1,social2,0.7746982565936522,0.44981280572787147
16,100,traditional1,social2,0.989705194197473,0.9832442334559348
17,200,traditional1,social2,0.9921453117329406,0.9845757770794684
18,300,traditional1,social2,0.9912235415591121,0.9770607146713481
19,400,traditional1,social2,0.9923788786064235,0.9649591794469333
20,0,social2,russian,0.7891373801916932,0.4653997769158618
21,100,social2,russian,0.907843137254902,0.7999995828109779
22,200,social2,russian,0.9432989690721649,0.8512813222163683
23,300,social2,russian,0.9418478260869565,0.7761992290649997
24,400,social2,russian,0.9551724137931035,0.5129129042909027
25,0,russian,social2,0.7849798837729102,0.5793720507585202
26,100,russian,social2,0.9574169396350023,0.9343906386375498
27,200,russian,social2,0.9617083946980854,0.9305004409171076
28,300,russian,social2,0.9566339700567889,0.9004809950677211
29,400,russian,social2,0.9586281981491562,0.8501373980249034
30,0,social2,fake,0.8252123379526151,0.6476562232494436
31,100,social2,fake,0.9850257370145064,0.9753468827419527
32,200,social2,fake,0.9818360333824251,0.9640885386266553
33,300,social2,fake,0.9798657718120806,0.9478166263137717
34,400,social2,fake,0.9880239520958084,0.9458930445772551
35,0,fake,social2,0.8690210102816271,0.7583158091913158
36,100,fake,social2,0.9906410856340665,0.9847674849599407
37,200,fake,social2,0.993127147766323,0.9864672229477329
38,300,fake,social2,0.9896747547754259,0.9731830365054049
39,400,fake,social2,0.9907457811649428,0.9580077586612612
